MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	1024.0137	Sec	11/6/2020 1:27:14 PM
Time	Station 1 Force	Station 1 Displacement
Sec	N	mm
1.0107422	8.0611877	-0.043521378
2.0107422	-3.9468961	-0.20983239
3.0107422	-20.935614	-0.5123868
4.0107422	-38.397823	-0.96703881
5.0107422	-58.72131	-1.5595804
6.0107422	-84.734016	-2.3522894
7.0107422	-127.03368	-3.3582673
8.0107422	-191.99873	-4.5863447
9.0107422	-307.86847	-6.0026488
10.010742	-523.13806	-7.5324535
11.010742	-856.51288	-9.0155134
12.010742	-1237.303	-10.195866
13.010742	-1542.5358	-10.945598
14.010742	-1710.0547	-11.363347
15.010742	-1709.0392	-11.51765
16.010742	-1645.4437	-11.532121
17.010742	-1524.3419	-11.498386
18.010742	-1401.8994	-11.459339
19.010742	-1326.3086	-11.431306
20.010742	-1253.8546	-11.3983
21.010742	-1197.3956	-11.371941
22.010742	-1166.0428	-11.358672
23.010742	-1135.9282	-11.34213
24.010742	-1108.29	-11.329103
25.010742	-1102.6487	-11.326163
26.010742	-1095.0399	-11.321815
27.010742	-1092.136	-11.318993
28.010742	-1088.2161	-11.316715
29.010742	-1079.2134	-11.309899
30.010742	-1072.483	-11.308652
31.010742	-740.79535	-11.123022
32.010742	-121.64391	-9.9900818
33.010742	-25.052553	-8.8581343
34.010742	10.595809	-7.7282386
35.010742	27.824036	-6.5966496
36.010742	35.584625	-5.4672117
37.010742	40.68602	-4.3371973
38.010742	43.234703	-3.2053535
39.010742	47.855171	-2.0732849
40.010742	47.299351	-0.94413024
41.010742	50.669739	0.0011033363
42.010742	48.503067	0.0012817765
43.010742	46.91452	-4.8294791e-05
44.010742	46.570076	0.00092483126
45.010742	43.874313	0.00078522781
46.010742	46.492924	0.001446035
47.010742	46.221664	-8.5765249e-05
48.010742	41.825035	0.001704425
49.010742	43.897018	0.0014556628
50.010742	43.737881	0.00060906459
51.010742	40.816418	0.001218545
52.010742	42.96822	2.3783801e-05
53.010742	43.031311	-0.00026303437
54.010742	41.442966	0.00071210833
55.010742	42.551643	-0.00047198421
56.010742	42.536575	0.002261603
57.010742	42.010895	0.0034927938
58.010742	41.586479	0.00096152112
59.010742	40.415916	0.0012919247
60.010742	40.038723	0.0011948658
61.010742	42.626991	0.00083154545
62.010742	39.685692	0.00017965051
63.010742	41.360989	0.00039484544
64.010742	42.799042	0.00069857732
65.010742	42.497593	0.00073500694
66.010742	40.942001	0.0012375405
67.010742	41.337883	0.0012089172
68.010742	40.814007	0.00068660761
69.010742	42.645878	-5.688177e-05
70.010742	40.904827	0.0017793659
71.010742	40.434406	0.0010159053
72.010742	40.166965	0.0015355478
73.010742	38.10458	0.0017031239
74.010742	39.522488	0.0012096978
75.010742	39.091644	0.0018012237
76.010742	42.730118	0.0019248242
77.010742	41.259319	0.0013725903
78.010742	40.177818	-0.00011549442
79.010742	38.508095	0.00087838352
80.010742	39.232342	0.00052449584
81.010742	36.98465	-0.00014073493
82.010742	36.657936	0.00065199949
83.010742	39.31955	-0.0001828892
84.010742	41.050957	0.0029285902
85.010742	40.573898	0.00071627175
86.010742	39.251633	0.00076467107
87.010742	40.334541	0.0015069245
88.010742	39.224106	0.0021005319
89.010742	39.930622	0.0015355478
90.010742	40.434406	0.00052104803
91.010742	37.733009	0.0016513419
92.010742	38.340519	0.00084611727
93.010742	38.65377	0.0014889699
94.010742	40.758553	0.00085652573
95.010742	41.509274	0.0016867307
96.010742	36.712391	0.0054732636
97.010742	39.017101	0.00026187734
98.010742	39.174076	0.0024081019
99.010742	37.008762	0.001460867
100.01074	36.41597	0.0015373692
101.01074	39.184723	0.0019880557
102.01074	38.339111	0.0015532421
103.01074	38.177113	0.0013483906
104.01074	37.73502	-0.0007033773
105.01074	40.936775	0.0042227521
106.01074	39.054874	0.0015350273
107.01074	37.718143	0.0010075786
108.01074	38.129894	0.0010429673
109.01074	37.577892	0.00026499989
110.01074	37.45829	0.0018967213
111.01074	38.453442	0.0053785467
112.01074	38.214287	0.0017783251
113.01074	39.766464	0.0057306131
114.01074	40.591782	0.0011378794
115.01074	37.042717	0.00038912077
116.01074	37.108871	0.0049576545
117.01074	37.039303	0.0003375989
118.01074	38.762119	0.0023719326
119.01074	39.148506	0.00052371522
120.01074	40.010193	0.0051258164
121.01074	39.418606	0.0015399713
122.01074	37.555992	0.0016916747
123.01074	36.360714	0.0023399265
124.01074	37.979351	0.00080890703
125.01074	35.649525	0.0013012923
126.01074	35.688957	0.00073891011
127.01074	34.526833	0.00076310983
128.01074	39.904701	0.0026881546
129.01074	37.865421	0.00077429891
130.01074	38.178722	0.0072660563
131.01074	35.984119	0.0013460487
132.01074	38.02903	0.0022428676
133.01074	38.83144	0.0038665226
134.01074	33.625366	0.010096702
135.01074	37.23365	0.0010596209
136.01074	37.820816	0.0013814374
137.01074	37.770584	0.0017085884
138.01074	38.222527	0.0017707789
139.01074	35.980305	0.0044382075
140.01074	40.69968	0.0037051265
141.01074	37.459698	0.0042867642
142.01074	38.135521	0.0022306377
143.01074	37.854172	0.0016875112
144.01074	35.860752	0.0018139741
145.01074	38.319824	0.0046284869
146.01074	37.250328	0.0034605276
147.01074	37.09742	0.0022733125
148.01074	37.673538	0.0083701983
149.01074	38.373074	0.00090089178
150.01074	37.747677	0.0037345302
151.01074	39.230938	0.0013335586
152.01074	36.836365	0.0034805639
153.01074	37.970108	0.0046212012
154.01074	38.430538	0.0028146175
155.01074	36.436665	0.0041433875
156.01074	38.404015	0.0054061292
157.01074	37.684383	0.0020976698
158.01074	38.484383	0.0027818307
159.01074	38.401402	0.0023024562
160.01074	37.396202	0.0052325679
161.01074	36.392059	0.004961818
162.01074	39.016094	0.0023948313
163.01074	40.558174	0.0015990393
164.01074	38.514526	0.0015678139
165.01074	37.545544	0.0032202872
166.01074	35.601101	0.0018316684
167.01074	36.415367	0.004434044
168.01074	36.64468	0.0029356158
169.01074	37.721958	0.0025569431
170.01074	38.894932	0.0035461371
171.01074	34.969933	0.0034704155
172.01074	39.336224	0.0024341231
173.01074	37.560211	0.0010835603
174.01074	37.766163	0.0028942423
175.01074	37.190655	0.0012206268
176.01074	37.417904	0.0019974231
177.01074	38.09333	0.0024481746
178.01074	38.304955	0.0045376732
179.01074	40.579926	0.0048082932
180.01074	38.207054	0.0075486456
181.01074	37.740444	0.00050439447
182.01074	35.88868	0.0043013361
183.01074	35.152981	0.0064358511
184.01074	38.602932	0.0068296161
185.01074	40.306412	0.0044382075
186.01074	40.799141	0.0087855617
187.01074	37.544537	0.0038248238
188.01074	37.83247	0.0063512824
189.01074	37.955643	0.0038568948
190.01074	37.065472	0.0027185995
191.01074	38.212879	0.0042279563
192.01074	35.93409	0.0025655299
193.01074	37.803337	0.004884535
194.01074	37.651833	0.00075192068
195.01074	39.096668	0.003980495
196.01074	39.078983	0.0031242692
197.01074	37.719147	0.0046214615
198.01074	37.911636	0.0053499886
199.01074	38.467106	0.0059333178
200.01074	32.751019	0.0029488867
201.01074	39.154533	0.0050284322
202.01074	36.036968	0.006351022
203.01074	36.236137	0.0064223204
204.01074	36.432243	0.0067955288
205.01074	39.094456	0.0049922629
206.01074	37.293125	0.003784491
207.01074	36.291996	0.0060723359
208.01074	37.674137	0.006915486
209.01074	38.787235	0.006580594
210.01074	36.093632	0.0057483073
211.01074	42.091465	0.0054519265
212.01074	37.723164	0.0043916292
213.01074	39.000622	0.0049402206
214.01074	38.282249	0.0016784038
215.01074	36.594643	0.0055328524
216.01074	33.729645	0.0035901128
217.01074	38.51553	0.0047382964
218.01074	38.292698	0.0052455785
219.01074	40.312439	0.0025452336
220.01074	36.501362	0.0057886401
221.01074	35.899933	0.0056541106
222.01074	36.488705	0.0028507868
223.01074	33.794147	0.0040424257
224.01074	38.167267	0.0055911397
225.01074	38.433949	0.0061894311
226.01074	37.807354	0.0062552644
227.01074	36.951496	0.0052994424
228.01074	38.650955	0.0064600511
229.01074	36.199169	0.004885836
230.01074	36.780506	0.0019419981
231.01074	35.282829	0.0061641904
232.01074	36.865299	0.0049818545
233.01074	36.307873	0.0067931865
234.01074	38.433949	0.0062151919
235.01074	37.803135	0.0051651732
236.01074	35.135094	0.0067749717
237.01074	37.849953	0.0067244908
238.01074	36.866703	0.0045301272
239.01074	37.004944	0.0052911155
240.01074	34.524422	0.0054839323
241.01074	36.285366	0.003572939
242.01074	37.513748	0.0062245596
243.01074	35.396553	0.0042318595
244.01074	37.241287	0.005664519
245.01074	37.541122	0.0052234605
246.01074	34.267784	0.0049657212
247.01074	35.369633	0.0047068107
248.01074	35.2332	0.006731777
249.01074	39.195171	0.0032991965
250.01074	37.237671	0.0027914587
251.01074	39.281773	0.0052632731
252.01074	38.518143	0.005360397
253.01074	37.393791	0.0061189136
254.01074	36.508999	0.0033181917
255.01074	36.19334	0.0040158839
256.01074	36.987862	0.0048392583
257.01074	39.454773	0.0046480028
258.01074	40.76458	0.0055809915
259.01074	37.719749	0.0032788999
260.01074	35.290264	0.0050567952
261.01074	36.450932	0.0054576509
262.01074	37.8391	0.0053168768
263.01074	36.824306	0.0065425378
264.01074	36.265877	0.0043341229
265.01074	37.683781	0.0049365773
266.01074	38.789448	0.0047619757
267.01074	37.481197	0.0050151614
268.01074	39.458389	0.0044147884
269.01074	39.689507	0.0049847164
270.01074	37.740643	0.0060731163
271.01074	34.791458	0.0079496969
272.01074	37.268814	0.0053051673
273.01074	34.368855	0.0064319479
274.01074	37.930523	0.0061001782
275.01074	36.691292	0.0041012336
276.01074	35.948158	0.0072327489
277.01074	35.692772	0.0076891598
278.01074	37.182011	0.0062206564
279.01074	35.650932	0.0060130074
280.01074	37.268814	0.0059281136
281.01074	38.86821	0.0080631487
282.01074	38.83345	0.0043799197
283.01074	39.045029	0.0077211661
284.01074	38.064396	0.0061027803
285.01074	38.075043	0.0075213234
286.01074	36.77066	0.0056879381
287.01074	32.84827	0.0066950871
288.01074	36.758808	0.0050120386
289.01074	36.821495	0.0052096695
290.01074	35.42107	0.0051174895
291.01074	38.03405	0.0046256245
292.01074	36.393265	0.0067135622
293.01074	41.258514	0.005112025
294.01074	36.119747	0.0052018631
295.01074	34.217148	0.0053481669
296.01074	37.172565	0.0072239018
